SIDO,YM,CARD_TOTAL,CARD_TRY,UPJONG_CD
서울,20201021,251500,25,ss008
서울,20170312,158445,20,ss001
서울,20161205,8048,15,ss007
서울,20201210,22635,5,ss006
서울,20210216,65390,10,ss004
경기,20200319,20120,25,ss002
인천,20181123,110409,5,ss001
경기,20160418,160457,50,ss001
경기,20201002,804800,5,ss003
서울,20170405,182710,15,ss002
서울,20190524,150900,5,ss004
제주,20160204,503000,5,ss001
서울,20160731,175044,5,ss001
서울,20160412,251500,20,ss008
경남,20210110,125247,5,ss001
서울,20190926,936586,10,ss001
서울,20200520,452700,5,ss003
강원,20180602,627437,5,ss003
서울,20210422,59354,5,ss001
서울,20170116,18611,25,ss001
제주,20181025,82995,45,ss007
서울,20201103,37675,5,ss002
서울,20190219,149894,5,ss002
서울,20161008,455718,5,ss001
서울,20190831,191643,5,ss001
서울,20180613,179571,5,ss002
서울,20190321,28671,40,ss002
서울,20161229,25150,25,ss008
서울,20180308,206783,5,ss002
서울,20160219,29677,10,ss002
서울,20201113,970186,5,ss001
서울,20210414,22635,5,ss001
서울,20200511,34707,5,ss008
경기,20190523,1069730,5,ss001
대전,20190304,432334,5,ss001
서울,20180420,22132,20,ss001
광주,20170826,25150,10,ss008
서울,20190624,15090,30,ss002
서울,20160501,50300,5,ss001
경남,20190426,68509,10,ss001
서울,20200505,564869,25,ss002
서울,20161209,125750,10,ss001
서울,20170912,58851,5,ss008
서울,20171211,226752,10,ss003
서울,20180508,58097,10,ss007
서울,20170222,34657,5,ss008
서울,20190114,322423,121,ss008
서울,20170622,1312327,10,ss004
서울,20190327,44163,10,ss006
서울,20200309,22635,5,ss002
부산,20201225,513060,15,ss002
서울,20200828,50300,5,ss001
서울,20160526,105630,15,ss001
서울,20180202,40240,35,ss004
서울,20200508,80480,10,ss006
서울,20160223,166191,5,ss006
경북,20180108,15090,10,ss002
경기,20180707,532677,20,ss004
서울,20200714,417842,10,ss001
경기,20171026,251500,5,ss006
서울,20190926,169159,5,ss001
경기,20171220,35210,171,ss001
경기,20210113,206230,10,ss002
서울,20191004,1062839,5,ss006
서울,20200529,57342,5,ss002
서울,20160109,20120,5,ss004
서울,20190605,176050,5,ss008
서울,20171008,40240,5,ss006
서울,20210303,935580,5,ss007
서울,20161012,726835,10,ss008
강원,20180720,22635,5,ss002
서울,20180127,135810,5,ss001
서울,20160131,5149865,5,ss001
경기,20210617,101757,10,ss002
인천,20170116,898936,5,ss002
경기,20160320,58348,15,ss001
서울,20190405,124493,10,ss002
충남,20170909,15845,30,ss001
서울,20191219,119211,5,ss001
서울,20201209,45270,161,ss001
경기,20190218,5099414,96,ss001
경기,20210714,49797,5,ss003
충북,20190920,44264,5,ss002
서울,20200404,11569,5,ss001
서울,20210519,169763,15,ss006
서울,20170912,22635,5,ss008
서울,20180915,90540,5,ss004
서울,20190113,12575,5,ss001
서울,20170420,45270,5,ss007
서울,20200108,5030,10,ss001
대구,20191225,45270,20,ss008
경기,20190201,135810,5,ss001
서울,20190714,47383,10,ss002
경기,20171027,22635,20,ss001
서울,20180618,135810,5,ss006
경기,20180427,30180,5,ss004
서울,20210607,77462,5,ss001
서울,20190806,47785,15,ss007
서울,20170206,40240,5,ss004
인천,20161219,1241303,5,ss003
서울,20180313,22132,15,ss001
서울,20170119,22132,15,ss001
서울,20181106,428053,10,ss002
서울,20200919,103719,5,ss001
서울,20210729,22635,5,ss008
경북,20180919,52815,10,ss002
서울,20191030,1214846,30,ss001
서울,20160705,20623,5,ss008
서울,20170403,27665,5,ss001
서울,20160820,22635,5,ss001
경기,20200927,75450,20,ss006
서울,20180216,1092063,15,ss008
경기,20171022,16599,10,ss002
강원,20180823,192649,5,ss001
서울,20210205,61869,10,ss001
서울,20210705,38681,5,ss002
경기,20210116,24647,5,ss007
서울,20160702,80480,10,ss003
경기,20160104,10060,10,ss001
서울,20190303,75450,5,ss002
서울,20190326,71426,10,ss001
서울,20170828,211250,5,ss002
서울,20170626,415528,5,ss003
서울,20161113,173535,5,ss002
경북,20180508,45270,15,ss008
서울,20171120,47785,116,ss003
서울,20160217,251500,5,ss006
서울,20200202,11066,5,ss002
서울,20180523,72935,5,ss002
서울,20170828,28168,45,ss002
경기,20180606,80882,5,ss001
서울,20200926,461754,10,ss003
서울,20210110,107139,15,ss007
서울,20210729,266590,20,ss001
서울,20201219,18108,5,ss001
서울,20190511,130780,5,ss001
서울,20191126,392843,5,ss001
서울,20180126,28420,35,ss002
서울,20200727,81989,5,ss004
서울,20190520,12575,5,ss008
서울,20180701,61366,5,ss004
서울,20190828,236410,5,ss004
서울,20160708,112924,5,ss002
경기,20160715,256530,20,ss004
서울,20160719,35210,5,ss007
서울,20191116,50300,5,ss002
서울,20180414,19114,5,ss003
서울,20160505,140840,15,ss002
서울,20170131,43761,15,ss001
서울,20180605,26659,15,ss001
서울,20170101,21629,20,ss004
서울,20181128,54827,15,ss001
서울,20190323,2863780,5,ss004
서울,20201228,150900,5,ss002
충남,20200910,83498,5,ss002
대전,20160314,32947,5,ss002
경기,20170614,286207,5,ss001
서울,20180107,45270,10,ss003
부산,20200613,249991,5,ss002
서울,20170928,35713,15,ss001
서울,20180901,14587,60,ss008
서울,20210105,163475,5,ss004
충북,20170831,352100,5,ss002
서울,20210706,22635,10,ss002
서울,20161207,71426,10,ss001
서울,20180227,55330,5,ss002
인천,20170813,384795,5,ss001
서울,20181103,35713,5,ss001
서울,20190107,1001473,10,ss002
경기,20160702,381526,5,ss001
서울,20210126,400891,15,ss002
경기,20170711,2615600,10,ss002
서울,20200301,380771,20,ss008
서울,20200731,17605,5,ss008
경기,20200110,380268,10,ss007
서울,20170925,736895,10,ss001
서울,20190227,150900,5,ss003
서울,20180123,526928,35,ss008
강원,20161006,126253,5,ss003
서울,20200214,44264,5,ss007
경북,20180116,207236,5,ss001
강원,20210202,22635,55,ss001
대구,20171215,31186,5,ss001
서울,20200805,22635,30,ss007
서울,20180403,440226,5,ss001
서울,20191205,58348,5,ss002
서울,20200727,706715,5,ss008
서울,20161109,299788,55,ss002
서울,20200405,29677,5,ss008
서울,20210606,1509000,20,ss007
서울,20210710,15090,10,ss007
경기,20170909,1376661,10,ss002
서울,20170113,343549,5,ss001
서울,20160713,128265,10,ss004
서울,20170707,233291,60,ss001
강원,20181121,10060,10,ss001
제주,20160218,15543,5,ss001
서울,20201217,201703,5,ss001
서울,20190522,181080,45,ss004
경기,20170216,581418,5,ss001
서울,20180901,1200158,50,ss004
경기,20170827,251500,5,ss004
경기,20191211,135307,5,ss001
광주,20201227,90540,5,ss008
경기,20170327,296770,5,ss002
서울,20160412,1825085,15,ss002
서울,20190508,56839,5,ss001
서울,20210607,70923,15,ss002
서울,20160208,180074,5,ss001
경기,20180704,149391,5,ss002
서울,20200215,41850,5,ss007
서울,20160616,528150,5,ss002
서울,20171027,25150,5,ss004
서울,20180821,123034,10,ss008
충남,20180428,21629,15,ss002
서울,20171217,164395,10,ss006
강원,20210506,910430,5,ss008
서울,20170528,27665,5,ss001
서울,20190325,105630,15,ss006
서울,20160427,31488,5,ss002
서울,20191016,73438,10,ss006
서울,20170507,2052240,20,ss002
경기,20191206,75450,5,ss002
서울,20190818,29174,10,ss002
서울,20210530,50300,5,ss003
서울,20210523,204721,10,ss008
충남,20201014,201200,5,ss004
서울,20160313,931556,10,ss002
서울,20171215,99594,20,ss001
경기,20181024,209248,5,ss004
서울,20160801,129875,50,ss001
서울,20180922,254015,5,ss003
서울,20180425,279165,5,ss001
서울,20210601,22635,5,ss002
경기,20160315,1559300,5,ss001
서울,20161214,15090,10,ss002
서울,20201224,120720,5,ss004
대구,20160409,50300,15,ss001
서울,20200815,63881,5,ss001
경기,20170223,15548,5,ss001
서울,20170105,45270,5,ss007
서울,20161015,5785,10,ss004
서울,20190327,147379,5,ss007
서울,20210303,32695,5,ss001
서울,20160528,201200,121,ss002
서울,20180515,14587,10,ss008
서울,20200214,4200503,10,ss002
서울,20191210,169511,10,ss002
서울,20180120,80480,5,ss002
서울,20171025,503000,25,ss002
서울,20210427,69414,5,ss001
서울,20161004,128265,55,ss008
서울,20210117,150900,5,ss008
전남,20170406,197060,5,ss001
서울,20210714,861066,5,ss001
강원,20190629,347070,5,ss004
서울,20160301,962340,5,ss008
서울,20170731,311005,5,ss003
서울,20190313,240434,5,ss001
경기,20171107,8048,5,ss001
경기,20161112,115690,121,ss003
서울,20170207,6850860,5,ss002
서울,20181227,36518,5,ss002
서울,20170514,2525060,10,ss004
서울,20180920,579959,5,ss002
서울,20180529,30180,5,ss004
서울,20200414,181080,5,ss002
서울,20210118,327554,5,ss002
강원,20210531,10563,5,ss005
서울,20180104,70420,5,ss001
대구,20170718,981856,5,ss001
전북,20190205,32293,5,ss001
서울,20170708,40240,5,ss001
경기,20161029,192146,5,ss006
서울,20160408,35713,5,ss001
경기,20201025,301448,86,ss001
서울,20180114,19617,5,ss002
서울,20170510,259045,35,ss006
서울,20200207,22635,5,ss008
서울,20180205,963245,5,ss002
경기,20210630,45270,5,ss001
서울,20171027,26156,5,ss001
서울,20170620,503000,5,ss001
경기,20181122,867449,5,ss008
경기,20160715,226350,20,ss008
서울,20160929,64384,5,ss001
경기,20161203,19617,5,ss001
서울,20160528,85510,5,ss001
서울,20160908,18108,5,ss002
인천,20200401,518090,5,ss003
서울,20190111,284698,20,ss003
부산,20170116,25150,5,ss004
서울,20201216,9557,5,ss001
서울,20170910,40240,25,ss003
서울,20180830,412963,15,ss008
경기,20180928,114835,10,ss007
서울,20160804,136313,5,ss001
서울,20160807,12575,15,ss003
서울,20201212,6036,5,ss001
대구,20180707,503000,15,ss002
서울,20190502,206230,5,ss002
서울,20170629,123235,10,ss008
서울,20161208,34204,5,ss006
서울,20160109,324883,10,ss001
서울,20201207,85862,15,ss001
서울,20170406,393698,5,ss008
인천,20170423,245062,5,ss001
서울,20180709,11066,5,ss002
서울,20200314,15090,5,ss001
서울,20160321,26156,80,ss007
경기,20180119,673416,5,ss003
서울,20190603,150397,5,ss002
서울,20210526,662049,5,ss004
서울,20190525,244659,5,ss006
경기,20200512,2565149,5,ss002
경기,20171115,251500,5,ss001
서울,20200718,559336,5,ss002
경남,20180531,182589,5,ss001
경기,20210213,236410,5,ss003
서울,20161023,50300,5,ss002
서울,20180417,48037,5,ss004
서울,20190804,240434,5,ss008
인천,20160926,188625,5,ss008
서울,20200102,1140452,5,ss007
부산,20171008,60360,5,ss004
서울,20190423,72432,5,ss006
서울,20200528,251500,30,ss001
서울,20160709,611648,5,ss001
서울,20190130,475838,5,ss002
서울,20190922,37725,20,ss008
서울,20210621,240937,5,ss006
서울,20180921,189128,5,ss002
경기,20180704,6614450,10,ss002
서울,20201029,25150,30,ss003
서울,20160617,10060,5,ss001
서울,20210709,500988,5,ss007
인천,20190808,258039,40,ss001
서울,20210409,311850,45,ss001
서울,20181108,15593,15,ss002
서울,20160708,191140,20,ss001
서울,20200619,125750,10,ss005
경기,20200403,171020,10,ss008
서울,20180708,1106600,15,ss002
서울,20190416,45270,10,ss008
서울,20170329,22635,10,ss002
서울,20160314,227356,5,ss003
서울,20190412,424029,5,ss006
서울,20210415,12575,5,ss002
경기,20201130,23893,5,ss001
경기,20160917,272475,10,ss008
제주,20180610,14084,5,ss006
전남,20180723,170014,101,ss004
서울,20201227,482377,5,ss003
서울,20160706,422520,10,ss001
서울,20200711,819085,5,ss001
서울,20190112,140840,5,ss001
서울,20190422,45270,30,ss008
서울,20171204,42755,5,ss008
경기,20170626,61366,5,ss001
서울,20160430,176050,186,ss002
서울,20190323,67402,5,ss001
서울,20200207,30180,5,ss008
서울,20181222,76964,5,ss001
서울,20170911,251500,5,ss004
서울,20160705,291740,5,ss002
서울,20210118,100449,5,ss001
서울,20190508,1364498,75,ss003
경기,20190617,3311299,5,ss001
서울,20160728,26156,96,ss002
서울,20200708,114986,5,ss002
서울,20190206,411957,5,ss006
대구,20191103,46779,5,ss002
부산,20160309,60360,10,ss002
서울,20200723,165487,5,ss007
서울,20170312,160960,15,ss001
서울,20180513,1290648,5,ss004
경기,20170426,224338,5,ss001
서울,20160726,37725,25,ss008
경기,20170713,55330,5,ss008
서울,20200705,3219200,5,ss001
서울,20190210,49797,5,ss006
서울,20170525,417440,15,ss008
서울,20160720,201200,136,ss003
경기,20170316,323932,5,ss002
서울,20161001,128265,5,ss001
경기,20160715,2535120,5,ss003
서울,20170812,56336,5,ss007
서울,20180827,43258,20,ss008
서울,20210314,40240,25,ss003
서울,20200620,40240,5,ss005
서울,20201113,71929,5,ss001
서울,20210324,101012,5,ss006
경북,20160112,254015,5,ss002
서울,20160819,492940,10,ss003
경기,20160131,16599,5,ss001
서울,20160101,151906,5,ss008
충남,20190101,160608,5,ss008
서울,20190219,15090,10,ss001
충북,20210504,25653,5,ss008
서울,20160923,75450,15,ss003
서울,20200922,30180,5,ss001
서울,20170201,21126,35,ss003
경기,20210621,54827,10,ss002
서울,20190710,15090,86,ss008
서울,20210228,30180,5,ss002
서울,20170906,756512,5,ss003
서울,20180801,173032,5,ss002
서울,20170219,799770,15,ss001
서울,20210715,109050,5,ss008
제주,20201008,106636,10,ss001
부산,20160113,150900,30,ss003
서울,20180429,35210,20,ss001
서울,20200617,55330,5,ss001
서울,20171219,6539,5,ss008
서울,20160523,14084,10,ss001
서울,20200115,28671,5,ss003
서울,20190925,22132,10,ss008
서울,20180524,30180,5,ss002
서울,20210131,2515,5,ss002
경기,20170503,50300,5,ss008
서울,20210317,100097,5,ss002
서울,20160625,415579,25,ss008
서울,20170206,289175,5,ss004
서울,20180428,22635,10,ss001
서울,20161124,10060,5,ss007
서울,20160831,92150,5,ss002
경기,20180820,376138,30,ss008
서울,20160204,545619,5,ss001
전북,20200324,196170,10,ss001
서울,20190430,130780,10,ss007
경기,20170527,47282,5,ss001
서울,20191001,56839,10,ss002
서울,20160206,237919,50,ss002
서울,20210120,348579,10,ss003
경기,20200413,941415,10,ss001
서울,20210606,39234,5,ss001
서울,20181225,137822,5,ss001
서울,20170210,65390,15,ss002
서울,20201027,3281673,5,ss008
서울,20160227,407430,5,ss006
서울,20160816,262566,5,ss001
서울,20200402,338519,10,ss002
서울,20160717,122430,5,ss008
서울,20210305,149140,5,ss008
서울,20190619,88025,5,ss002
서울,20160916,41749,5,ss008
서울,20160721,72935,10,ss001
서울,20210228,955700,5,ss004
서울,20180514,123336,5,ss007
경남,20180420,268149,5,ss008
서울,20170222,14587,35,ss002
서울,20160826,7042,5,ss001
서울,20180710,439421,30,ss002
서울,20190819,16096,15,ss003
경남,20201130,73438,5,ss003
서울,20210216,40240,5,ss008
서울,20200727,120972,35,ss002
서울,20180622,5533,5,ss007
서울,20160507,18108,5,ss008
경기,20171202,341990,5,ss002
경북,20160907,58449,5,ss007
서울,20161007,216290,10,ss001
경기,20190417,419502,5,ss001
세종,20210408,215837,10,ss001
서울,20200815,111666,10,ss002
서울,20161230,302705,5,ss001
경기,20180131,22635,65,ss007
서울,20200118,41246,5,ss003
서울,20180716,1367053,5,ss001
서울,20180402,35210,5,ss001
서울,20170904,120720,20,ss008
서울,20190216,25150,5,ss004
서울,20170712,45270,10,ss003
서울,20191114,65390,5,ss008
서울,20181008,75450,5,ss007
서울,20190611,700176,10,ss004
서울,20180125,17605,10,ss001
서울,20160323,125800,5,ss001
대전,20190301,140840,10,ss004
경기,20200206,29174,5,ss001
서울,20180819,87924,5,ss007
강원,20201021,266590,10,ss006
서울,20180114,44767,20,ss004
경기,20170703,12575,5,ss008
서울,20181213,254015,5,ss002
경기,20210408,189812,15,ss001
서울,20190518,57845,30,ss006
경기,20170308,140840,5,ss008
서울,20180405,75450,5,ss003
서울,20170517,58348,15,ss002
서울,20190729,1060324,5,ss007
경기,20161123,814357,5,ss006
서울,20160223,201200,5,ss006
서울,20210428,16599,5,ss003
서울,20210309,79474,5,ss007
서울,20201108,55330,10,ss004
부산,20180901,853591,5,ss006
서울,20160326,2052240,5,ss002
서울,20160804,22635,5,ss003
인천,20210628,667481,116,ss001
